ori_text,paragraphIndex,coref_text
"Sir Arthur Somervell (5 June 1863 – 2 May 1937) was an English composer and art song writer. After Hubert Parry, he was one of the most successful and influential writers of art song in the English music renaissance of the 1890s–1900s. One of his best-known works is his English-language adaptation of a Handel aria, ""Silent Worship"".
",0,"Sir Arthur Somervell (5 June 1863 – 2 May 1937) was an English composer and art song writer. After Hubert Parry, Sir Arthur Somervell was one of the most successful and influential writers of art song in the English music renaissance of the 1890s–1900s. One of Sir Arthur Somervell's best-known works is Sir Arthur Somervell's English-language adaptation of a Handel aria, ""Silent Worship"". "
"He was born in Windermere, Westmorland, the son of shoe-manufacturer (founder of K Shoes, earlier Somervell Brothers) Robert Miller Somervell JP of ""Hazelthwaite"" at Winderemere (1821-1899). The Somervell (originally Somerville) family came from Scotland, settling in London in the 1700s. Arthur Somervell's brother, shoe-manufacturer Colin Somervell was later High Sheriff of Westmorland in 1916, as was Colin's son, Maj. Arnold Colin Somervell, O.B.E. in 1936, and, later, other members of the Somervell family. Somervell was initially educated at Uppingham School and King's College, Cambridge, where he studied composition under Sir Charles Villiers Stanford. From 1883 to 1885 he studied at the High School for Music, Berlin, and from 1885 to 1887 at the Royal College of Music in London, under Parry. He studied composition with Friedrich Kiel. He became a professor at the Royal College of Music in 1894, and conducted his own works at the Leeds and Birmingham Festivals, 1895-97. He was appointed Inspector of Music at the Board of Education and Scottish Education Department in 1901, and in June the following year received the degree Doctor of Music from the University of Cambridge. He achieved success in his own day as a composer of choral works such as The Forsaken Merman (1895), Intimations of Immortality (which he conducted at Leeds Festival in 1907), and The Passion of Christ (1914) but is now chiefly remembered for his song cycles such as Maud (after Tennyson, 1898) and the first known setting (1904) of A. E. Housman's A Shropshire Lad. His popular Handel adaptation ""Silent Worship"" was featured in the 1996 film Emma.
",2,"Somervell was born in Windermere, Westmorland, the son of shoe-manufacturer (founder of K Shoes, earlier Somervell Brothers) Robert Miller Somervell JP of ""Hazelthwaite"" at Winderemere (1821-1899). The Somervell (originally Somerville) family came from Scotland, settling in London in the 1700s. Arthur Somervell's brother, shoe-manufacturer Colin Somervell was later High Sheriff of Westmorland in 1916, as was Arthur Somervell's brother, shoe-manufacturer Colin Somervell's son, Maj. Arnold Colin Somervell, O.B.E. in 1936, and, later, other members of The Somervell (originally Somerville) family. Somervell was initially educated at Uppingham School and King's College, Cambridge, where Somervell studied composition under Sir Charles Villiers Stanford. From 1883 to 1885 Somervell studied at the High School for Music, Berlin, and from 1885 to 1887 at the Royal College of Music in London, under Parry. Somervell studied composition with Friedrich Kiel. Somervell became a professor at the Royal College of Music in 1894, and conducted Somervell's own works at the Leeds and Birmingham Festivals, 1895-97. Somervell was appointed Inspector of Music at the Board of Education and Scottish Education Department in 1901, and in June the following year received the degree Doctor of Music from the University of Cambridge. Somervell achieved success in Somervell's own day as a composer of choral works such as The Forsaken Merman (1895), Intimations of Immortality (which Somervell conducted at Leeds Festival in 1907), and The Passion of Christ (1914) but is now chiefly remembered for Somervell's song cycles such as Maud (after Tennyson, 1898) and the first known setting (1904) of A. E. Housman's A Shropshire Lad. Somervell's popular Handel adaptation ""Silent Worship"" was featured in the 1996 film Emma. "
"His style was conservative, and shows the influence of Mendelssohn and Brahms. He was also active in music education, and became Principal Inspector of Music for the Board of Education in 1920. He was knighted in 1929. His Violin Concerto of 1930 was dedicated to the violinist Adila Fachiri.
",3,"His style was conservative, and shows the influence of Mendelssohn and Brahms. He was also active in music education, and became Principal Inspector of Music for the Board of Education in 1920. He was knighted in 1929. His Violin Concerto of 1930 was dedicated to the violinist Adila Fachiri. "
"In 1890 Somervell married Edith Lance Collet (1861-1944), and through his daughter Katherine ('Kit'), a dancer with Sergei Diaghilev's Ballets Russes, was grandfather of the writer Elizabeth Jane Howard.
",4,"In 1890 Somervell married Edith Lance Collet (1861-1944), and through Somervell's daughter Katherine ('Kit'), a dancer with Sergei Diaghilev's Ballets Russes, was grandfather of the writer Elizabeth Jane Howard. "
"Operettas:  The Enchanted Prince; Princess Zara; Knave of Hearts (Novello); Golden Straw (Curwen); Thomas the Rhymer.
",6,Operettas:  The Enchanted Prince; Princess Zara; Knave of Hearts (Novello); Golden Straw (Curwen); Thomas the Rhymer. 
"Orchestral works:  Thalassa Symphony in D minor (Boosey); Helen of Kirconnel (Novello); In Arcady (Suite for small orchestra) (Donajowski)
",7,Orchestral works:  Thalassa Symphony in D minor (Boosey); Helen of Kirconnel (Novello); In Arcady (Suite for small orchestra) (Donajowski) 
"Choral:  Mass; Power of Sound; The Charge of the Light Brigade; Elegy (Chorus and orch.) (Novello); Song of Praise (chorus and orch.) (Metzler); To the Vanguard; Passion of Christ (chorus and orch.) (Boosey); Mass in D minor (Ricordi).
",8,Choral:  Mass; Power of Sound; The Charge of the Light Brigade; Elegy (Chorus and orch.) (Novello); Song of Praise (chorus and orch.) (Metzler); To the Vanguard; Passion of Christ (chorus and orch.) (Boosey); Mass in D minor (Ricordi). 
"Concertstuck for violin and orchestra (Augener, 1913). Normandy, symphonic variations for piano and orchestra (1911, Augener). Highland concerto, pianoforte and orchestra (1920). Violin Concerto (1930).
",9,"Concertstuck for violin and orchestra (Augener, 1913). Normandy, symphonic variations for piano and orchestra (1911, Augener). Highland concerto, pianoforte and orchestra (1920). Violin Concerto (1930). "
"Chamber music: Quintet for clarinet and strings; Suites, studies and pieces for violin and piano (Augener, Weekes, Williams and Ashdown); Variations for 2 pianos (Augener); pianoforte pieces (Augener; Williams; Leonard; Lucas; Hatzfield; Ashdown; Boosey; Bosworth; Weekes).
",10,"Chamber music: Quintet for clarinet and strings; Suites, studies and pieces for violin and piano (Augener, Weekes, Williams and Ashdown); Variations for 2 pianos (Augener); pianoforte pieces (Augener; Williams; Leonard; Lucas; Hatzfield; Ashdown; Boosey; Bosworth; Weekes). "
"Song-cycles: Maud (1898); A Shropshire Lad (1904); James Lee's Wife (1908); A Broken Arc (1923); Love in Springtime (1901). (Boosey). Windflowers, Cycle for vocal quartet (Boosey).
",11,"Song-cycles: Maud (1898); A Shropshire Lad (1904); James Lee's Wife (1908); A Broken Arc (1923); Love in Springtime (1901). (Boosey). Windflowers, Cycle for vocal quartet (Boosey). "
