ori_text_x,paragraphIndex,ori_text_y,coref_text
"Niccolò (or Nicolò) Paganini (Italian: [ni(k)koˈlɔ ppaɡaˈniːni] (listen); 27 October 1782 – 27 May 1840) was an Italian violinist and composer. He was the most celebrated violin virtuoso of his time, and left his mark as one of the pillars of modern violin technique. His 24 Caprices for Solo Violin Op. 1 are among the best known of his compositions and have served as an inspiration for many prominent composers.
",0,"Niccolò (or Nicolò) Paganini (Italian: [ni(k)koˈlɔ ppaɡaˈniːni] (listen); 27 October 1782 – 27 May 1840) was an Italian violinist and composer. He was the most celebrated violin virtuoso of his time, and left his mark as one of the pillars of modern violin technique. His 24 Caprices for Solo Violin Op. 1 are among the best known of his compositions and have served as an inspiration for many prominent composers.
","Niccolò (or Nicolò) Paganini (Italian: [ni(k)koˈlɔ ppaɡaˈniːni] (listen); 27 October 1782 – 27 May 1840) was an Italian violinist and composer. He was the most celebrated violin virtuoso of his time, and left his mark as one of the pillars of modern violin technique. His 24 Caprices for Solo Violin Op. 1 are among the best known of his compositions and have served as an inspiration for many prominent composers.
"
"== Biography ==
",1,"== Biography ==
","== Biography ==
"
"=== Childhood ===
",2,"=== Childhood ===
","=== Childhood ===
"
"Niccolò Paganini was born in Genoa (then capital of the Republic of Genoa) on 27 October 1782, the third of the six children of Antonio and Teresa (née Bocciardo) Paganini. Paganini's father was an unsuccessful trader, but he managed to supplement his income by playing music on the mandolin. At the age of five, Paganini started learning the mandolin from his father and moved to the violin by the age of seven. His musical talents were quickly recognized, earning him numerous scholarships for violin lessons. The young Paganini studied under various local violinists, including Giovanni Servetto and Giacomo Costa, but his progress quickly outpaced their abilities. Paganini and his father then traveled to Parma to seek further guidance from Alessandro Rolla. But upon listening to Paganini's playing, Rolla immediately referred him to his own teacher, Ferdinando Paer and, later, Paer's own teacher, Gasparo Ghiretti. Though Paganini did not stay long with Paer or Ghiretti, the two had considerable influence on his compositional style.
",3,"Niccolò Paganini was born in Genoa (then capital of the Republic of Genoa) on 27 October 1782, the third of the six children of Antonio and Teresa (née Bocciardo) Paganini. Paganini's father was an unsuccessful trader, but he managed to supplement his income by playing music on the mandolin. At the age of five, Paganini started learning the mandolin from his father and moved to the violin by the age of seven. His musical talents were quickly recognized, earning him numerous scholarships for violin lessons. The young Paganini studied under various local violinists, including Giovanni Servetto and Giacomo Costa, but his progress quickly outpaced their abilities. Paganini and his father then traveled to Parma to seek further guidance from Alessandro Rolla. But upon listening to Paganini's playing, Rolla immediately referred him to his own teacher, Ferdinando Paer and, later, Paer's own teacher, Gasparo Ghiretti. Though Paganini did not stay long with Paer or Ghiretti, the two had considerable influence on his compositional style.
","Niccolò Paganini was born in Genoa (then capital of the Republic of Genoa) on 27 October 1782, the third of the six children of Antonio and Teresa (née Bocciardo) Paganini. Niccolò Paganini's father was an unsuccessful trader, but Paganini's father managed to supplement Paganini's father's income by playing music on the mandolin. At the age of five, Niccolò Paganini started learning the mandolin from Niccolò Paganini's father and moved to the violin by the age of seven. Niccolò Paganini's musical talents were quickly recognized, earning Niccolò Paganini numerous scholarships for violin lessons. Niccolò Paganini studied under various local violinists, including Giovanni Servetto and Giacomo Costa, but Niccolò Paganini's progress quickly outpaced various local violinists, including Giovanni Servetto and Giacomo Costa's abilities. Niccolò Paganini and Niccolò Paganini's father then traveled to Parma to seek further guidance from Alessandro Rolla. But upon listening to Niccolò Paganini's playing, Alessandro Rolla immediately referred Niccolò Paganini to Niccolò Paganini's own teacher, Ferdinando Paer and, later, his own teacher, Ferdinando Paer's own teacher, Gasparo Ghiretti. Though Niccolò Paganini did not stay long with his own teacher, Ferdinando Paer or Paer's own teacher, Gasparo Ghiretti, Paer or Ghiretti had considerable influence on Niccolò Paganini's compositional style.
"
"=== Early career ===
",4,"=== Early career ===
","=== Early career ===
"
"The French invaded northern Italy in March 1796, and Genoa was not spared. The Paganinis sought refuge in their country property in Romairone, near Bolzaneto. It was in this period that Paganini is thought to have developed his relationship with the guitar. He mastered the guitar, but preferred to play it in exclusively intimate, rather than public concerts. He later described the guitar as his ""constant companion"" on his concert tours. By 1800, Paganini and his father traveled to Livorno, where Paganini played in concerts and his father resumed his maritime work. In 1801, the 18-year-old Paganini was appointed first violin of the Republic of Lucca, but a substantial portion of his income came from freelancing. His fame as a violinist was matched only by his reputation as a gambler and womanizer.
",5,"The French invaded northern Italy in March 1796, and Genoa was not spared. The Paganinis sought refuge in their country property in Romairone, near Bolzaneto. It was in this period that Paganini is thought to have developed his relationship with the guitar. He mastered the guitar, but preferred to play it in exclusively intimate, rather than public concerts. He later described the guitar as his ""constant companion"" on his concert tours. By 1800, Paganini and his father traveled to Livorno, where Paganini played in concerts and his father resumed his maritime work. In 1801, the 18-year-old Paganini was appointed first violin of the Republic of Lucca, but a substantial portion of his income came from freelancing. His fame as a violinist was matched only by his reputation as a gambler and womanizer.
","The French invaded northern Italy in March 1796, and Genoa was not spared. The Paganinis sought refuge in The Paganinis's country property in Romairone, near Bolzaneto. It was in this period that Paganini is thought to have developed Paganini's relationship with the guitar. Paganini mastered the guitar, but preferred to play the guitar in exclusively intimate, rather than public concerts. Paganini later described the guitar as Paganini's ""constant companion"" on Paganini's concert tours. By 1800, Paganini and Paganini's father traveled to Livorno, where Paganini played in concerts and Paganini's father resumed his father's maritime work. In 1801, Paganini was appointed first violin of the Republic of Lucca, but a substantial portion of Paganini's income came from freelancing. Paganini's fame as a violinist was matched only by Paganini's reputation as a gambler and womanizer.
"
"In 1805, Lucca was annexed by Napoleonic France, and the region was ceded to Napoleon's sister, Elisa Baciocchi. Paganini became a violinist for the Baciocchi court, while giving private lessons to Elisa's husband, Felice. In 1807, Baciocchi became the Grand Duchess of Tuscany and her court was transferred to Florence. Paganini was part of the entourage, but, towards the end of 1809, he left Baciocchi to resume his freelance career.
",6,"In 1805, Lucca was annexed by Napoleonic France, and the region was ceded to Napoleon's sister, Elisa Baciocchi. Paganini became a violinist for the Baciocchi court, while giving private lessons to Elisa's husband, Felice. In 1807, Baciocchi became the Grand Duchess of Tuscany and her court was transferred to Florence. Paganini was part of the entourage, but, towards the end of 1809, he left Baciocchi to resume his freelance career.
","In 1805, Lucca was annexed by Napoleonic France, and Lucca was ceded to Napoleon's sister, Elisa Baciocchi. Paganini became a violinist for the Baciocchi court, while giving private lessons to Napoleon's sister, Elisa Baciocchi's husband, Felice. In 1807, Napoleon's sister, Elisa Baciocchi became the Grand Duchess of Tuscany and Napoleon's sister, Elisa Baciocchi's court was transferred to Florence. Paganini was part of the entourage, but, towards the end of 1809, Paganini left Napoleon's sister, Elisa Baciocchi to resume Paganini's freelance career.
"
"=== Travelling virtuoso ===
",7,"=== Travelling virtuoso ===
","=== Travelling virtuoso ===
"
"For the next few years, Paganini returned to touring in the areas surrounding Parma and Genoa. Though he was very popular with the local audience, he was still not very well known in the rest of Europe. His first break came from an 1813 concert at La Scala in Milan. The concert was a great success. As a result, Paganini began to attract the attention of other prominent, though more conservative, musicians across Europe. His early encounters with Charles Philippe Lafont and Louis Spohr created intense rivalry. His concert activities, however, remained limited to Italy for the next few years.
",8,"For the next few years, Paganini returned to touring in the areas surrounding Parma and Genoa. Though he was very popular with the local audience, he was still not very well known in the rest of Europe. His first break came from an 1813 concert at La Scala in Milan. The concert was a great success. As a result, Paganini began to attract the attention of other prominent, though more conservative, musicians across Europe. His early encounters with Charles Philippe Lafont and Louis Spohr created intense rivalry. His concert activities, however, remained limited to Italy for the next few years.
","For the next few years, Paganini returned to touring in the areas surrounding Parma and Genoa. Though Paganini was very popular with the local audience, Paganini was still not very well known in the rest of Europe. Paganini's first break came from an 1813 concert at La Scala in Milan. an 1813 concert at La Scala in Milan was a great success. As a result, Paganini began to attract the attention of other prominent, though more conservative, musicians across Europe. Paganini's early encounters with Charles Philippe Lafont and Louis Spohr created intense rivalry. Paganini's concert activities, however, remained limited to Italy for the next few years.
"
"In 1827, Pope Leo XII honoured Paganini with the Order of the Golden Spur. His fame spread across Europe with a concert tour that started in Vienna in August 1828, stopping in every major European city in Germany, Poland, and Bohemia until February 1831 in Strasbourg. This was followed by tours in Paris and Britain. His technical ability and his willingness to display it received much critical acclaim. In addition to his own compositions, theme and variations being the most popular, Paganini also performed modified versions of works (primarily concertos) written by his early contemporaries, such as Rodolphe Kreutzer and Giovanni Battista Viotti.
",9,"In 1827, Pope Leo XII honoured Paganini with the Order of the Golden Spur. His fame spread across Europe with a concert tour that started in Vienna in August 1828, stopping in every major European city in Germany, Poland, and Bohemia until February 1831 in Strasbourg. This was followed by tours in Paris and Britain. His technical ability and his willingness to display it received much critical acclaim. In addition to his own compositions, theme and variations being the most popular, Paganini also performed modified versions of works (primarily concertos) written by his early contemporaries, such as Rodolphe Kreutzer and Giovanni Battista Viotti.
","In 1827, Pope Leo XII honoured Paganini with the Order of the Golden Spur. Paganini's fame spread across Europe with a concert tour that started in Vienna in August 1828, stopping in every major European city in Germany, Poland, and Bohemia until February 1831 in Strasbourg. This was followed by tours in Paris and Britain. Paganini's technical ability and Paganini's willingness to display His technical ability received much critical acclaim. In addition to Paganini's own compositions, theme and variations being the most popular, Paganini also performed modified versions of works (primarily concertos) written by Paganini's early contemporaries, such as Rodolphe Kreutzer and Giovanni Battista Viotti.
"
